Startup Name,Sector,Founding Year,Series A,Series B,Series C,Series D,Total Funding Raised,Employees,Series A Purpose,Series B Purpose,Series C Purpose,Series D Purpose,Location,2018 Rev,2019 Rev,2020 Rev,2021 Rev,2022 Rev,2023 Rev,Total Revenue,Profitable
Magneta,Fintech,2020,1,2,3.5,4.8,11.3,25,Product Dev,Market Expansion,Scaling,Global Expansion,Mumbai,-,-,-,-,3,4,7,No
Corrit Electric,Electric Vehicles,2017,1.2,2.8,4.5,6,14.5,250,Product Launch,Marketing,Expansion,Global Expansion,Delhi,-,-,-,-,1.5,2,3.5,No
Cell Propulsion,Electric Vehicles,2018,1,2,3.5,NULL,6.5,100,Research,Development,Market Expansion,NULL,Hyderabad,0,0,3,0,3,0,6,No
Exponent,Fintech,2019,1,2.5,4.5,NULL,8,75,Research,Development,Market Expansion,NULL,Bangalore,0.5,0,0,0,3.6,4,8.1,Yes
Jai Kisan,Agritech,2020,1.5,3,4.5,NULL,9,25,R&D,Market Expansion,Scaling,Global Expansion,Mumbai,0,2,4,,0,0,9,Yes
ApnaKlub,Social Commerce,2019,1,2,3.5,4.8,11.3,100,Product Dev,Market Expansion,Scaling,NULL,Delhi,-,0.5,-,-,2,2.5,5,No
BatterySmart,Electric Vehicles,2017,2,3.5,5,7,17.5,250,Product Launch,Marketing,NULL,NULL,Hyderabad,-,-,-,-,2.5,4,6.5,No
SmartStaff,HRtech,2018,1.5,3,4.5,6,15,100,Research,Development,Market Expansion,NULL,Bangalore,-,2,3.5,5,6.5,8,25,Yes
Electric PE,Electric Vehicles,2019,1.2,2.8,4.5,6,14.5,75,Research,Development,Market Expansion,NULL,Mumbai,-,-,-,-,1,2,3,No
Flash,Delivery,2020,1.5,3,4.5,NULL,9,25,R&D,Market Expansion,Scaling,NULL,Delhi,-,-,-,2,3,4,9,Yes
Azorte,Fintech,2017,1.2,2.8,4.5,NULL,9.3,250,Product Dev,Market Expansion,Scaling,NULL,Hyderabad,-,-,-,5,6,7,13,Yes
Ultrahuman,Healthtech,2018,0.8,1.5,3,NULL,4.3,100,Product Launch,Marketing,Expansion,NULL,Bangalore,-,-,-,5,7,1,14,Yes
Lovelocal,Ecommerce,2019,1,2,NULL,NULL,3,45,Product Launch,Marketing,NULL,NULL,Mumbai,-,2,3.5,5,6.5,8,25,Yes
